2.07,0.56
1.85,0.71
1.73,0.76
1.62,0.79
1.58,0.87
1.49,0.88
1.46,0.88
1.45,0.91
1.37,0.94
1.37,0.91
1.31,0.94
1.30,0.97
1.27,0.93
1.26,0.96
1.25,0.97
1.23,0.97
1.22,0.98
1.19,0.99
1.20,0.96
1.18,0.99
1.17,0.98
1.17,0.98
1.17,0.98
1.15,0.99
1.14,0.99
1.13,0.99
1.12,0.98
1.11,1.00
1.12,1.00
1.11,0.99
1.11,0.98
1.10,0.99
1.11,0.99
1.09,0.99
1.08,0.99
1.08,1.00
1.08,0.99
1.08,1.00
1.07,1.00
1.06,0.99
1.07,1.00
1.06,1.00
1.06,1.00
1.06,1.00
1.05,0.99
1.05,0.99
1.06,0.99
1.05,1.00
1.05,1.00
1.05,1.00
1.04,1.00
1.05,1.00
1.04,1.00
1.04,1.00
1.04,1.00
1.04,0.99
1.03,1.00
1.04,0.99
1.03,1.00
1.03,1.00
1.02,1.00
1.03,1.00
1.03,1.00
1.03,0.99
1.03,0.99
1.02,1.00
1.02,1.00
1.03,1.00
1.03,0.99
1.02,1.00
1.02,1.00
1.02,1.00
1.02,1.00
1.02,1.00
1.02,1.00
1.02,1.00
1.01,1.00
1.02,1.00
1.02,1.00
1.01,1.00
1.01,1.00
1.01,1.00
1.01,1.00
1.01,1.00
1.01,1.00
1.01,1.00
1.01,1.00
1.01,1.00
1.01,1.00
1.01,1.00
1.00,1.00
1.01,1.00
1.01,1.00
1.01,1.00
1.00,1.00
1.01,1.00
1.01,1.00
1.00,1.00
1.01,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.01,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
