2.24,0.55
2.03,0.56
1.95,0.61
2.10,0.61
2.00,0.71
1.87,0.72
1.90,0.66
1.87,0.72
2.01,0.69
1.88,0.73
1.85,0.78
1.62,0.78
1.67,0.80
1.54,0.78
1.74,0.77
1.75,0.80
1.65,0.80
1.61,0.85
1.57,0.79
1.49,0.84
1.62,0.88
1.59,0.83
1.56,0.91
1.50,0.89
1.48,0.92
1.32,0.91
1.36,0.90
1.49,0.90
1.54,0.87
1.43,0.92
1.50,0.91
1.39,0.89
1.43,0.93
1.43,0.91
1.57,0.85
1.34,0.93
1.40,0.93
1.30,0.93
1.41,0.96
1.38,0.93
1.29,0.93
1.31,0.94
1.26,0.96
1.26,0.93
1.23,0.93
1.40,0.96
1.31,0.94
1.26,0.94
1.31,0.94
1.29,0.96
1.24,0.97
1.27,0.99
1.29,0.96
1.40,0.94
1.25,0.96
1.26,0.97
1.23,0.99
1.19,0.96
1.21,0.96
1.23,0.99
1.24,0.99
1.18,0.93
1.27,0.94
1.19,0.97
1.21,0.97
1.22,0.99
1.24,0.96
1.19,0.99
1.26,0.94
1.24,0.97
1.27,0.97
1.37,0.98
1.23,0.98
1.15,0.96
1.26,0.96
1.29,0.99
1.26,0.96
1.21,0.99
1.32,0.99
1.31,0.99
1.16,0.99
1.16,0.99
1.16,1.00
1.20,0.99
1.19,1.00
1.25,0.99
1.21,0.97
1.16,0.99
1.16,0.99
1.18,0.99
1.17,0.99
1.22,0.96
1.24,0.96
1.12,0.97
1.12,0.99
1.14,1.00
1.12,0.99
1.16,1.00
1.14,0.99
1.14,0.99
1.19,0.99
1.18,1.00
1.15,1.00
1.13,1.00
1.18,1.00
1.10,1.00
1.13,1.00
1.10,1.00
1.10,0.99
1.13,0.97
1.18,0.99
1.13,0.99
1.17,0.99
1.16,1.00
1.11,1.00
1.13,1.00
1.11,1.00
1.07,0.99
1.23,0.98
1.13,1.00
